customerid,firstname,lastname,gender,age,tenure,noofproducts,is_verified,branch,address,creditscore,customer_status
66052,Mavis,Hobbs,Female,58,6,1,Y,BOB0002349,"Bel   Vale, 1511",633,
100100,Alison,Gates,Female,55,5,1,Y,BOB0002348,"Bede  Route, 2031",482,
100105,Juliette,Niles,Female,25,5,1,Y,BOB0002348,"Erindale Way, 7878",812,
100106,Clint,Watt,Male,34,6,2,Y,BOB0002345,"Bell    Alley, 4078",588,
100107,Elise,Snow,Female,42,1,1,Y,BOB0002346,"Clyde Rue, 2122",807,
100108,Andrea,Roberts,Female,48,4,1,Y,BOB0002347,"Collins  Walk, 1004",726,
100109,Alison,Thomas,Female,38,4,2,Y,BOB0002349,"Aspen Grove, 106",670,
100110,Skylar,Dowson,Female,39,7,1,Y,BOB0002349,"Kingly  Route, 1832",667,
100111,Alma,Ainsworth,Female,41,3,1,Y,BOB0002349,"Clarges   Drive, 3819",698,
100112,Liam,Boyle,Male,41,9,1,Y,BOB0002345,"Baylis  Avenue, 2524",773,
100120,Rose,Drew,Female,34,0,1,Y,BOB0002348,"Walnut Street, 8064",569,
100121,Cedrick,Middleton,Male,45,7,1,Y,BOB0002346,"Fairview Pass, 4535",743,
100122,Beatrice,Higgs,Female,39,5,1,Y,BOB0002348,"Black Swan  Crossroad, 8527",627,
100123,Tyler,Nanton,Male,39,3,1,Y,BOB0002345,"Lake Boulevard, 9781",793,
100124,Meredith,Vane,Female,39,1,1,Y,BOB0002346,"Waldram Park  Alley, 4902",540,
100125,Remy,Lane,Female,40,3,1,Y,BOB0002345,"Carltoun   Walk, 1365",678,
100139,Cedrick,Shaw,Male,38,1,2,Y,BOB0002349,"Becklow  Crossroad, 2644",533,
100160,Rufus,Morrison,Male,39,1,3,Y,BOB0002345,"Berriman  Street, 6479",490,
100182,Jack,Mcleod,Male,34,6,1,Y,BOB0002345,"Railroad Street, 1288",788,
100200,Denis,Lunt,Male,40,9,1,Y,BOB0002347,"Meadow Road, 7049",709,
100210,Maxwell,Addis,Male,28,8,2,Y,BOB0002346,"Cable    Rue, 5707",692,
100211,Maxwell,Brock,Male,29,9,2,Y,BOB0002349,"Tilson  Vale, 3440",711,
100212,Rebecca,Hood,Female,34,8,1,Y,BOB0002345,"Jackson Hill, 5614",613,
100213,Stephanie,Reid,Female,47,9,1,Y,BOB0002347,"Ampton  Street, 2994",772,
100224,Henry,Ellis,Male,39,5,2,Y,BOB0002346,"Carlisle  Walk, 6735",838,
100226,Freya,Larkin,Female,42,5,1,Y,BOB0002347,"Wakley   Crossroad, 9085",640,
100227,Michael,Butler,Male,48,3,2,Y,BOB0002348,"Norfolk  Grove, 454",624,
100228,Daron,Nielson,Male,42,9,2,Y,BOB0002349,"Sherlock   Tunnel, 2085",667,
100229,John,Rodgers,Male,26,0,1,Y,BOB0002345,"Balfe   Road, 189",642,
100230,Tyson,Gonzales,Male,39,5,2,Y,BOB0002348,"Rail Route, 4961",563,
100242,Catherine,Wren,Female,55,9,1,Y,BOB0002345,"Aspen Vale, 8362",745,
100253,Elly,Roberts,Female,48,9,2,Y,BOB0002345,"Blackheath  Rue, 5180",656,
100256,Darlene,Hamilton,Female,82,2,2,Y,BOB0002348,"Clissold  Drive, 2098",700,
100258,Jane,Downing,Female,63,1,1,Y,BOB0002346,"Linden Alley, 5749",687,
100260,Gil,Campbell,Male,39,4,1,Y,BOB0002349,"Elia   Route, 7692",599,
100264,Anthony,Roberts,Male,64,3,1,Y,BOB0002345,"Cavendish Boulevard, 5673",502,
100265,Alan,Wood,Male,42,4,1,Y,BOB0002349,"Bolton  Lane, 2250",759,
100266,Eduardo,James,Male,43,8,1,Y,BOB0002347,"Cephas  Avenue, 4678",586,
100271,Sadie,Upsdell,Female,47,9,1,Y,BOB0002346,"Kingly  Boulevard, 1588",749,
100272,Isabel,Mcgee,Female,45,10,1,Y,BOB0002345,"Angel  Rue, 1003",651,
100273,Carter,Samuel,Male,39,8,2,Y,BOB0002345,"Cave   Crossroad, 6164",606,
100275,Valerie,King,Female,35,1,2,Y,BOB0002345,"Collins  Drive, 2612",687,
100282,Carol,Gates,Female,46,1,1,Y,BOB0002347,"Virginia Lane, 1624",509,
100283,Isabel,Edmonds,Female,43,2,3,Y,BOB0002346,"Chester      Street, 395",710,
100284,Kimberly,Funnell,Female,26,4,2,Y,BOB0002348,"Oxford Rue, 5626",582,
100285,Logan,Samuel,Male,37,8,2,Y,BOB0002346,"Chapel  Avenue, 429",743,
100286,Danny,Fowler,Male,29,0,1,Y,BOB0002345,"Chapel  Way, 2418",582,
100287,Beatrice,Hooper,Female,44,3,2,Y,BOB0002348,"Abbots   Vale, 3828",679,
100291,Priscilla,Jackson,Female,33,3,1,Y,BOB0002347,"Biggerstaff   Walk, 7841",557,
100292,Aiden,Wooldridge,Male,32,8,1,Y,BOB0002348,"Aspen Hill, 1793",547,
100295,Caleb,Gray,Male,75,9,1,Y,BOB0002349,"Littlebury  Tunnel, 1420",511,
100296,Kassandra,Armstrong,Female,33,1,1,Y,BOB0002348,"Ashley Alley, 698",740,
100297,Jayden,Emmott,Male,30,10,2,Y,BOB0002348,"Becher  Boulevard, 3150",492,
100299,Jenna,Parker,Female,44,2,2,Y,BOB0002349,"Lake Pass, 2044",842,
100300,Phillip,Pearson,Male,43,1,1,Y,BOB0002346,"Badric  Crossroad, 5670",774,
100301,Aiden,Andrews,Male,32,8,2,Y,BOB0002348,"Bacon  Walk, 4767",514,
100310,Joseph,Skinner,Male,45,1,1,Y,BOB0002345,"Dutton   Avenue, 412",651,
100312,Camden,Michael,Female,61,3,1,Y,BOB0002347,"Blenkarne  Boulevard, 4188",594,
100315,Chadwick,Funnell,Male,42,9,2,Y,BOB0002347,"Camden  Route, 2508",540,
100317,Mary,Appleton,Female,40,6,1,Y,BOB0002346,"Rail Drive, 452",487,
100324,Rose,Callan,Female,42,4,2,Y,BOB0002346,"Waldram Park  Hill, 2859",652,
100327,Camellia,Seymour,Female,48,1,2,Y,BOB0002347,"Ashley Route, 7269",547,
100329,Sebastian,Parker,Male,37,5,2,Y,BOB0002345,"Blackheath  Crossroad, 8615",494,
100332,Owen,Rowlands,Male,21,8,2,Y,BOB0002345,"Gate   Street, 1457",588,
100333,Elle,Purvis,Female,40,1,1,Y,BOB0002348,"Charterhouse  Drive, 5645",667,
100335,Matt,Vinton,Male,51,5,3,Y,BOB0002345,"Blackheath   Way, 9983",555,
100336,Lindsay,Flynn,Female,48,8,2,Y,BOB0002348,"Cingworth  Drive, 9374",635,
100338,Kurt,Anderson,Male,71,0,1,Y,BOB0002349,"Armory  Walk, 7126",650,
100341,Denny,Dallas,Male,32,4,2,Y,BOB0002346,"Carnegie   Vale, 3123",850,
