CustomerID,Address,Verification_Status,Validation_status,Comments
100113,"Chestnut  Drive, 468",started,,Document Verification is in Progress
100115,"Garfield Street, 9525",started,,Document Verification is in Progress
100117,"Becher  Grove, 1378",started,,Document Verification is in Progress
100201,"Garfield Tunnel, 7314",started,,Document Verification is in Progress
100203,"Blackall   Alley, 8025",started,,Document Verification is in Progress
100205,"Belmont Park Road, 4807",started,,Document Verification is in Progress
100207,"Abbots   Crossroad, 9210",started,,Document Verification is in Progress
100209,"Amwell    Walk, 8238",started,,Document Verification is in Progress
100244,"Timothy  Drive, 2342",started,,Document Verification is in Progress
100250,"Baltic  Road, 612",started,,Document Verification is in Progress
100252,"Cliff  Lane, 9529",started,,Document Verification is in Progress
100259,"Bayberry Tunnel, 2856",started,,Document Verification is in Progress
100276,"Black Swan  Pass, 6021",started,,Document Verification is in Progress
100279,"Camdale  Grove, 6666",started,,Document Verification is in Progress
100281,"Udall   Walk, 2249",started,,Document Verification is in Progress
100318,"Bloomsbury  Boulevard, 9688",started,,Document Verification is in Progress
100331,"Fawn Pass, 3387",started,,Document Verification is in Progress
100340,"Fairbairn  Street, 4695",started,,Document Verification is in Progress
100355,"Antrobus   Tunnel, 1952",started,,Document Verification is in Progress
100360,"King Edward  Walk, 1573",started,,Document Verification is in Progress
100369,"Camberwell  Street, 8858",started,,Document Verification is in Progress
100381,"Calderwood   Walk, 6895",started,,Document Verification is in Progress
100411,"English   Grove, 5232",started,,Document Verification is in Progress
100412,"Baynes  Street, 5371",started,,Document Verification is in Progress
100416,"Cam  Route, 5727",started,,Document Verification is in Progress
100427,"Maple Grove, 1681",started,,Document Verification is in Progress
100434,"Camdale  Vale, 3702",started,,Document Verification is in Progress
100437,"Longleigh   Pass, 9704",started,,Document Verification is in Progress
100464,"Elba  Lane, 1848",started,,Document Verification is in Progress
100491,"Bocking   Avenue, 3995",started,,Document Verification is in Progress
100495,"South Vale, 2043",started,,Document Verification is in Progress
100523,"Oxford Route, 7812",started,,Document Verification is in Progress
100624,"Belmore  Drive, 302",started,,Document Verification is in Progress
100663,"Addison  Rue, 750",started,,Document Verification is in Progress
100681,"Elf  Alley, 7632",started,,Document Verification is in Progress
100700,"Castle Avenue, 2506",started,,Document Verification is in Progress
100713,"Bendmore  Vale, 5200",started,,Document Verification is in Progress
100773,"Sheffield Street, 5711",started,,Document Verification is in Progress
100775,"Howard Pass, 5417",started,,Document Verification is in Progress
100875,"Calvin   Vale, 3789",started,,Document Verification is in Progress
100974,"Belmont Park Drive, 629",started,,Document Verification is in Progress
100999,"Camberwell  Route, 6832",started,,Document Verification is in Progress
101001,"Garfield Walk, 5264",started,,Document Verification is in Progress
101003,"Antrobus   Lane, 1687",started,,Agent need to verify the address physically.
101013,"Gatonby   Grove, 722",started,,Agent need to verify the address physically.
101014,"Cloth  Hill, 8591",started,,Agent need to verify the address physically.
111199,"Chester      Crossroad, 3956",started,,Agent need to verify the address physically.
111224,"Blomfield  Tunnel, 1827",started,,Agent need to verify the address physically.
111499,"Bolton  Route, 4978",started,,Agent need to verify the address physically.
111541,"Bel   Alley, 2679",started,,Agent need to verify the address physically.
111615,"Sherlock   Avenue, 2456",started,,Agent need to verify the address physically.
111617,"Colombo   Tunnel, 5212",started,,Agent need to verify the address physically.
111660,"Westcott  Rue, 5880",started,,Agent need to verify the address physically.
111900,"Mariner  Boulevard, 507",started,,Agent need to verify the address physically.
122122,"Fairfield  Vale, 6463",started,,Agent need to verify the address physically.
126126,"Virgil   Hill, 6347",started,,Agent need to verify the address physically.
127127,"Battis   Lane, 8576",started,,Agent need to verify the address physically.
129032,"Capeners  Avenue, 3278",started,,Agent need to verify the address physically.
131314,"Blandford  Lane, 6232",started,,Agent need to verify the address physically.
